,Date,edf_close,edf_pct0,edf_vol,tte_close,tte_pct0,tte_vol,detrended_edf_close,detrended_tte_close
178,2009-09-21,39.88,-0.007271815446339036,1760.0,61.23,0.01633186346562132,1379.6,9.2,5.5
179,2009-09-22,39.59,0.007577671129072927,1260.0,62.23,-0.021211634260003165,1787.4,8.92,6.51
180,2009-09-23,39.89,-0.014790674354474898,985.71,60.91,-0.03447708093909041,1822.8,9.23,5.19
181,2009-09-24,39.3,-0.009414758269720047,1990.0,58.810001,-0.003060703909867346,2876.3,8.65,3.09
182,2009-09-25,38.93,0.024916516825070678,1350.0,58.630001,0.019614497362877348,2753.1,8.29,2.91
183,2009-09-28,39.9,0.012030075187970057,1570.0,59.779999,-0.010705921892036008,1340.4,9.27,4.07
184,2009-09-29,40.38,0.003962357602773636,1510.0,59.139999,0.0020290666558855364,1649.7,9.75,3.43
185,2009-09-30,40.54,-0.022200296003946685,1830.0,59.259998,-0.03071210026028015,2019.8,9.92,3.55
186,2009-10-01,39.64,-0.02320887991927345,1370.0,57.439999,-0.004004178342691067,1797.8,9.03,1.73
187,2009-10-02,38.72,-0.0030991735537189147,1500.0,57.209999,0.007166579394626282,1724.1,8.12,1.51
188,2009-10-05,38.6,0.011139896373056901,1100.0,57.619999,0.023950035125825053,2771.6,8.01,1.92
189,2009-10-06,39.03,-0.013066871637202104,1480.0,59.0,-0.005084728813559369,1761.3,8.45,3.3
190,2009-10-07,38.52,0.028037383177569986,1490.0,58.700001,0.008347495598850063,1111.3,7.94,3.0
191,2009-10-08,39.6,-0.004797979797979912,4780.0,59.189999,0.006589001631846614,1716.0,9.03,3.5
192,2009-10-09,39.41,0.0025374270489724182,1960.0,59.580002,0.012588116395162219,1674.9,8.85,3.89
193,2009-10-12,39.51,-0.00961781827385455,1640.0,60.330002,0.003646560462570392,1206.2,8.96,4.64
194,2009-10-13,39.13,0.015333503705596607,1080.0,60.549999,0.03550787837337532,1304.4,8.59,4.86
195,2009-10-14,39.73,0.0037754845205135723,2290.0,62.700001,0.004625215237237246,2254.6,9.2,7.02
196,2009-10-15,39.88,-0.008776328986960902,1780.0,62.990002,0.002857532851007205,1949.9,9.36,7.31
197,2009-10-16,39.53,0.02504427017455102,2660.0,63.169998,0.009814833301087011,2038.4,9.01,7.49
198,2009-10-19,40.52,0.0017275419545903503,2270.0,63.790001,-0.0037623764890675204,1682.8,10.01,8.11
199,2009-10-20,40.59,0.0007390983000736817,1660.0,63.549999,0.002675090522031409,1682.9,10.09,7.88
200,2009-10-21,40.62,-0.020187099950763177,1330.0,63.720001,0.004237303762754108,2883.4,10.13,8.05
201,2009-10-22,39.8,-0.009798994974874353,1740.0,63.990002,-0.00875139838251604,3184.1,9.32,8.32
202,2009-10-23,39.41,0.009134737376300661,1450.0,63.43,-0.021125650323190914,2145.3,8.94,7.76
203,2009-10-26,39.77,-0.0035202413879809047,1640.0,62.09,0.006603317764535266,2999.8,9.3,6.43
204,2009-10-27,39.63,-0.019934393136512685,1150.0,62.5,-0.02128003200000006,3482.5,9.17,6.84
205,2009-10-28,38.84,-0.00643666323377956,1810.0,61.169998,0.021415760059367628,3436.7,8.39,5.51
206,2009-10-29,38.59,-0.015288934957242928,2080.0,62.48,-0.03857234314980784,2560.4,8.15,6.82
207,2009-10-30,38.0,0.006842105263157761,1660.0,60.07,0.005493624105210593,3766.8,7.57,4.42
208,2009-11-02,38.26,-0.01332984840564555,1000.0,60.400002,0.006622466668130267,2645.5,7.84,4.75
209,2009-11-03,37.75,0.01377483443708627,1410.0,60.799999,0.011677615323645085,2465.9,7.33,5.15
210,2009-11-04,38.27,-0.0013065064018814576,1390.0,61.509998,0.01723300332410993,2362.4,7.86,5.86
211,2009-11-05,38.22,-0.03192046049188901,1260.0,62.57,-0.002716925043950824,2604.5,7.82,6.93
212,2009-11-06,37.0,0.005405405405405572,4200.0,62.400002,0.0011217788101993698,2069.5,6.61,6.76
213,2009-11-09,37.2,0.00994623655913962,1740.0,62.470001,0.0033615975130205644,2258.9,6.82,6.83
214,2009-11-10,37.57,0.010114453021027536,1240.0,62.68,0.004148037651563463,1440.4,7.2,7.04
215,2009-11-11,37.95,-0.01765480895915683,1220.0,62.939999,-0.016841404779812552,2399.6,7.59,7.31
216,2009-11-12,37.28,0.023873390557940022,3200.0,61.880001,0.014867452894837596,1551.8,6.92,6.25
217,2009-11-13,38.17,0.008383547288446369,1770.0,62.799999,0.015127404699480929,3495.5,7.82,7.17
218,2009-11-16,38.49,-0.0038971161340607408,1420.0,63.75,-0.003607843137254818,2330.9,8.15,8.12
219,2009-11-17,38.34,0.012780386019822565,950.37,63.52,0.00015741498740551307,1462.4,8.01,7.9
220,2009-11-18,38.83,-0.0030903940252381412,1520.0,63.529999,-0.011648008998079828,1763.3,8.51,7.91
221,2009-11-19,38.71,0.002324980625161288,1390.0,62.790001,-0.014014986239608396,1438.0,8.4,7.17
222,2009-11-20,38.8,0.010051546391752542,1590.0,61.91,0.02455176869649489,1285.8,8.49,6.29
223,2009-11-23,39.19,-0.002551671344730666,954.37,63.43,0.008040343685953077,2059.4,8.89,7.82
224,2009-11-24,39.09,0.010232796111537379,1060.0,63.939999,0.00766345022933157,1536.8,8.8,8.33
225,2009-11-25,39.49,-0.025069637883008422,1080.0,64.43,-0.027006068601583166,1188.5,9.21,8.82
226,2009-11-27,38.65,-0.005950840879689445,1010.0,62.689999,-0.007975753835950727,1087.6,8.38,7.08
227,2009-11-30,38.42,0.012493492972410092,1270.0,62.189999,0.021707702551980956,1376.7,8.16,6.59
228,2009-12-01,38.9,0.006426735218509005,799.32,63.540001,0.0033049889313032654,1342.0,8.64,7.94
229,2009-12-02,39.15,0.008429118773946254,755.37,63.75,-0.0015685960784314057,1647.4,8.9,8.15
230,2009-12-03,39.48,0.007598784194529085,1210.0,63.650002,0.0010997485907384696,2114.3,9.24,8.05
231,2009-12-04,39.78,-0.0007541478129713397,1600.0,63.720001,-0.001726302546668279,2065.0,9.55,8.13
232,2009-12-07,39.75,-0.0055345911949685744,728.98,63.610001,-0.021537478045315583,1513.9,9.53,8.02
233,2009-12-08,39.53,0.0030356691120667634,1050.0,62.240002,-0.0003213528174371705,1740.8,9.32,6.65
234,2009-12-09,39.65,0.011601513240857564,882.72,62.220001,0.00610731266301312,1857.3,9.45,6.63
235,2009-12-10,40.11,0.005484916479680857,966.37,62.599998,0.0041534026886069775,1597.9,9.91,7.02
236,2009-12-11,40.33,-0.0029754525167368095,991.52,62.860001,0.0034998567690127658,1975.3,10.14,7.28
237,2009-12-14,40.21,0.01715991047003218,725.41,63.080002,-0.003646226897709992,1495.4,10.03,7.5
238,2009-12-15,40.9,-0.0034229828850855792,1090.0,62.849998,0.010183039305745156,1375.7,10.73,7.27
239,2009-12-16,40.76,-0.018645731108930308,978.63,63.490002,-0.025200865484300894,1427.3,10.6,7.92
