,date_time,total_demand,combined_cycle_gas_turbine_generation,oil_generation,coal_generation,nuclear_generation,wind_generation,pumped_storage_generation,nonpumped_storage_hydro_generation,open_cycle_gas_turbine_generation,other_generation,biomass_generation,embedded_solar_generation,embedded_wind_generation,BritNet_flow,total_ma7,detrended_total_ma7
537,2010-04-26,1751789,934438,0,449962,310165,21998,12776,9220,0,0,0,18.0,24954.0,0.0,1723525.2857142857,70517.75475600315
538,2010-04-27,1745996,938710,0,421738,314961,23333,17202,10818,0,0,0,21.0,22519.0,0.0,1712632.2857142857,53589.89761314588
539,2010-04-28,1764266,924399,0,396060,314761,40079,16348,12747,123,0,0,17.0,60188.0,0.0,1704737.5714285714,38682.89761314588
540,2010-04-29,1772340,949164,0,436113,314551,12342,19472,14853,0,0,0,11.0,19764.0,0.0,1698301.7142857143,28391.183327431558
541,2010-04-30,1722667,932895,0,397778,298666,5786,18618,13112,16,0,0,18.0,31276.0,0.0,1692101.2857142857,17974.18332743179
542,2010-05-01,1539776,862910,0,244594,293601,8507,15594,11501,0,0,0,16.0,18948.0,0.0,1690493.0,15608.75475600292
543,2010-05-02,1537468,877542,0,210645,293297,3210,13898,11175,0,0,0,11.0,44950.0,0.0,1690614.5714285714,19237.611898860196
544,2010-05-03,1589919,924612,0,318386,293859,4435,18106,11217,687,0,0,20.0,47719.0,0.0,1667490.2857142857,1649.3261845742818
545,2010-05-04,1811873,970799,0,509637,293594,12461,16398,10313,393,0,0,20.0,30371.0,0.0,1676901.2857142857,45566.75475600315
546,2010-05-05,1806997,953665,0,544207,303388,3744,14968,10406,0,0,0,17.0,8465.0,0.0,1683005.7142857143,57805.326184574515
547,2010-05-06,1799106,958869,0,528180,309453,12343,20328,9290,0,0,0,16.0,22677.0,0.0,1686829.4285714286,61649.75475600315
548,2010-05-07,1775950,976881,0,471956,285186,21925,20266,9016,0,0,0,17.0,45692.0,0.0,1694441.2857142857,71396.89761314588
549,2010-05-08,1615033,855107,0,365818,275436,9549,18060,7632,0,0,0,9.0,44776.0,0.0,1705192.2857142857,80517.04047028883
550,2010-05-09,1568109,866768,0,316671,272320,6478,17970,7881,0,0,0,17.0,16902.0,0.0,1709569.5714285714,80103.32618457428
551,2010-05-10,1806390,989154,0,525576,272802,9696,24224,8324,409,0,0,18.0,21435.0,0.0,1740494.0,104619.61189886043
552,2010-05-11,1833682,965163,0,565098,273235,2866,12077,6760,38,0,0,20.0,17395.0,0.0,1743609.5714285714,83775.18332743156
553,2010-05-12,1824858,936181,0,617939,270131,4158,15672,6351,29,0,0,19.0,10923.0,0.0,1746161.142857143,87789.46904171747
554,2010-05-13,1796300,949977,0,479622,247431,23117,11494,5955,0,0,0,21.0,19424.0,0.0,1745760.2857142857,82912.46904171724
555,2010-05-14,1756428,997246,0,461205,239890,5668,13940,5716,0,0,0,19.0,23452.0,0.0,1742971.4285714286,74104.75475600315
556,2010-05-15,1533137,901464,0,258103,241951,18634,15208,5446,0,0,0,22.0,17589.0,0.0,1731272.0,55699.18332743156
557,2010-05-16,1511928,885010,0,244748,243227,9050,16074,6025,0,0,0,20.0,30481.0,0.0,1723246.142857143,42734.32618457475
558,2010-05-17,1726046,975744,0,460297,267662,3951,13658,6769,0,0,0,39.0,13587.0,0.0,1711768.4285714286,23008.183327431558
559,2010-05-18,1719963,982247,0,469823,269951,7392,14628,5931,0,0,0,38.0,3087.0,0.0,1695522.857142857,180.0404702888336
560,2010-05-19,1724581,977777,0,473727,265753,6772,18148,6232,0,0,0,32.0,10492.0,0.0,1681197.5714285714,-17995.53095828253
561,2010-05-20,1727777,979218,0,489490,261379,2377,16206,7135,0,0,0,34.0,2077.0,0.0,1671408.5714285714,-21905.388101139804
562,2010-05-21,1683697,961252,0,452063,249231,1138,21718,10488,0,0,0,39.0,3867.0,0.0,1661018.4285714286,-23258.388101139804
563,2010-05-22,1476016,853187,0,273815,231475,5086,20182,6928,0,0,0,44.0,6068.0,0.0,1652858.2857142857,-19343.959529711166
564,2010-05-23,1435404,812532,0,266588,242406,7428,13404,6103,0,0,0,44.0,7738.0,0.0,1641926.2857142857,-17962.10238685389
565,2010-05-24,1694228,890139,0,409920,256149,11092,19860,8894,586,0,0,59.0,22866.0,0.0,1637380.857142857,-1170.6738154254854
566,2010-05-25,1691876,927589,0,457157,256078,4708,14786,5303,0,0,0,49.0,24206.0,0.0,1633368.4285714286,38270.89761314611
567,2010-05-26,1698266,953604,0,430237,262536,6572,20416,5400,0,0,0,36.0,22267.0,0.0,1629609.142857143,55606.754756003385
568,2010-05-27,1688223,943067,0,421034,273746,10109,12324,5786,0,0,0,50.0,22833.0,0.0,1623958.5714285714,59388.18332743179
569,2010-05-28,1632619,939563,0,333038,283872,9567,13311,5502,0,0,0,61.0,22184.0,0.0,1616661.7142857143,62329.89761314611
570,2010-05-29,1501273,852031,0,212631,285038,3749,20042,6263,0,0,0,22.0,40327.0,0.0,1620269.857142857,74944.04047028883
571,2010-05-30,1417871,795657,0,150883,289746,13248,14590,4949,0,0,0,53.0,65965.0,0.0,1617765.142857143,77771.18332743179
572,2010-05-31,1446891,871556,0,206901,291075,6717,13208,5345,0,0,0,39.0,22330.0,0.0,1582431.2857142857,41514.04047028883
573,2010-06-01,1676883,910033,0,408561,291532,12066,17462,5845,0,0,0,16.0,15621.0,0.0,1580289.4285714286,9966.89761314611
574,2010-06-02,1635356,923091,0,331043,290712,15831,14380,6026,0,0,0,56.0,6754.0,0.0,1571302.2857142857,-7353.1023868538905
575,2010-06-03,1637702,882520,0,369009,268662,4486,17746,6947,0,0,0,64.0,12455.0,0.0,1564085.0,-12454.673815425485
576,2010-06-04,1625631,871398,0,403606,263491,8804,15758,5729,0,0,0,60.0,14202.0,0.0,1563086.7142857143,-11804.388101139572
577,2010-06-05,1458465,814493,0,265186,266299,1002,18320,6696,0,0,0,49.0,3233.0,0.0,1556971.2857142857,-20663.81667256821
578,2010-06-06,1440617,783772,0,261581,267148,1206,16582,5853,0,0,0,35.0,17809.0,0.0,1560220.7142857143,-24003.38810113957
579,2010-06-07,1675545,902889,0,422161,264529,1019,24418,7243,199,0,0,37.0,13616.0,0.0,1592885.5714285714,548.3261845745146
580,2010-06-08,1711556,906427,0,463074,251327,8159,12115,5457,0,0,0,36.0,20044.0,0.0,1597838.857142857,3694.8976131458767
581,2010-06-09,1708349,848439,0,485782,254391,37462,14986,5451,671,0,0,39.0,32432.0,0.0,1608266.4285714286,10632.89761314611
582,2010-06-10,1724988,867852,0,469646,252044,11860,18782,5872,256,0,0,22.0,54496.0,0.0,1620735.857142857,18448.897613145877
583,2010-06-11,1666393,859674,0,417265,251997,20620,16790,5381,85,0,0,54.0,37239.0,0.0,1626559.0,19424.326184574515
